epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4846.66,2.12999,1.70107,1.94139,0.77866,0.70212,0.70985,0.2287,2.1928,1.59558,1.76082,0.000332593,0.000332593,0.0670733
2,9375.45,1.63933,1.09063,1.55208,0.83473,0.75664,0.77719,0.22527,2.28968,1.29481,1.88395,0.000632963,0.000632963,0.0340404
3,13925.6,1.52479,0.96792,1.45056,0.89246,0.8197,0.8553,0.333,2.03053,1.19528,1.70346,0.000900333,0.000900333,0.000974407
4,18441.2,1.4445,0.87724,1.38738,0.91099,0.83489,0.87049,0.34773,1.89805,0.98087,1.59035,0.0008515,0.0008515,0.0008515
5,22991.5,1.3863,0.80851,1.34999,0.94543,0.86607,0.90137,0.48194,1.7058,0.84173,1.5013,0.000802,0.000802,0.000802
6,27584.9,1.36376,0.75865,1.32646,0.94227,0.87629,0.9026,0.50024,1.6041,0.74851,1.42574,0.0007525,0.0007525,0.0007525
7,32034.7,1.31758,0.70749,1.30283,0.94355,0.88093,0.90867,0.50602,1.50233,0.6926,1.33256,0.000703,0.000703,0.000703
8,36242.6,1.30431,0.69352,1.29558,0.95322,0.88024,0.90903,0.51594,1.53157,0.66816,1.35615,0.0006535,0.0006535,0.0006535
9,40593.4,1.29912,0.67994,1.29348,0.95461,0.88764,0.9103,0.55099,1.40599,0.63859,1.27533,0.000604,0.000604,0.000604
10,45186.5,1.26258,0.64867,1.26715,0.95467,0.88889,0.91255,0.5605,1.37877,0.59081,1.26164,0.0005545,0.0005545,0.0005545
11,49677.2,1.24881,0.59909,1.28592,0.94964,0.88795,0.91262,0.57766,1.36197,0.59826,1.24417,0.000505,0.000505,0.000505
12,54128.2,1.22736,0.59303,1.27566,0.95249,0.88955,0.91121,0.59901,1.25718,0.57158,1.20503,0.0004555,0.0004555,0.0004555
13,58529.6,1.21609,0.58191,1.27505,0.95608,0.89074,0.91399,0.55349,1.28326,0.56527,1.21067,0.000406,0.000406,0.000406
14,63058.2,1.19949,0.56746,1.26263,0.96019,0.89163,0.91263,0.59087,1.24947,0.56417,1.20057,0.0003565,0.0003565,0.0003565
15,67470.3,1.18211,0.55629,1.24274,0.96444,0.8946,0.91297,0.60108,1.22658,0.52562,1.18684,0.000307,0.000307,0.000307
16,71851.6,1.15086,0.54009,1.2371,0.95732,0.8903,0.91274,0.59286,1.18276,0.52982,1.17383,0.0002575,0.0002575,0.0002575
17,76168.2,1.16294,0.54306,1.23878,0.9634,0.89018,0.9136,0.60809,1.22669,0.53298,1.19213,0.000208,0.000208,0.000208
18,80541.5,1.14529,0.53246,1.23071,0.96216,0.89372,0.91327,0.60818,1.20572,0.52977,1.18052,0.0001585,0.0001585,0.0001585
19,84793.8,1.1302,0.52301,1.21502,0.96322,0.8941,0.91384,0.6097,1.19445,0.51513,1.17603,0.000109,0.000109,0.000109
20,89020,1.13427,0.52054,1.22396,0.96242,0.89563,0.91443,0.60867,1.1949,0.51219,1.17458,5.95e-05,5.95e-05,5.95e-05
